,G_MO,G_NOD,G_R,G_Rnd,R_D,Y
1947-06-30,0.004897456671733779,0.0005850204215381648,0.16282789818325807,0.16714033443345364,0.0043124362501956144,1.027830736034995
1947-09-30,0.004836585413708152,0.0006329759434047582,0.15487217169112957,0.15907578116143298,0.004300990384673358,1.0127006463761319
1947-12-31,0.0047550841701724435,0.0007038775909794735,0.14983989739528591,0.15389110397447886,0.004317115891340771,1.0157149159386851
1948-03-31,0.0047820815932500165,0.0008123407834687527,0.15184258597413333,0.15581232678391457,0.004379742997664078,1.0182691720780817
1948-06-30,0.004876442955744122,0.000885261951965856,0.15598615682435663,0.1599773378281349,0.004302523130952698,1.0224287900910063
1948-09-30,0.0048029111488137165,0.0009169194011371642,0.15769558271938372,0.16158157446706026,0.004206185824264134,1.0158739250789353
1948-12-31,0.004788397336736481,0.0009748832901140141,0.16224280107937897,0.16605631512600144,0.003974799885060448,1.0048681195445062
1949-03-31,0.004785385911178988,0.001011197618136036,0.1682041784449453,0.17197836673798828,0.003613963318338297,0.979273682064882
1949-06-30,0.004791281415866849,0.0010663089204451443,0.17428108432062256,0.17800605681604426,0.0034264059976970643,0.9644799729057013
1949-09-30,0.004714831192843406,0.0012139984508518947,0.17299477924639503,0.17649561198838654,0.003359670131427337,0.9630430908561707
1949-12-31,0.004590195005527395,0.0013812440898091556,0.1694953921721871,0.17270434308790533,0.0034042783627619587,0.9439443037696523
1950-03-31,0.004461905919874189,0.001602418225094136,0.1646070307777735,0.16746651847255356,0.003698685170422025,0.9698360028377931
1950-06-30,0.004368933855637723,0.0017421293879178459,0.164546162246717,0.1671729667144369,0.003960622280344478,0.98805616806982
1950-09-30,0.0042674299947228446,0.0017780958311345188,0.15953470929345823,0.16202404345704655,0.004106084261897676,1.0146769715770285
1950-12-31,0.004282966097963289,0.00176432633289234,0.16739685331987414,0.16991549308494508,0.004119957686772149,1.022622080755869
1951-03-31,0.004247108545285268,0.0016597895464333231,0.1850207681714396,0.18760808717029157,0.0039542045076793875,1.025164131620582
1951-06-30,0.004377314321669847,0.0016070140249418072,0.2049572495504606,0.2077275498471886,0.003993549778400163,1.0316370444817655
1951-09-30,0.004565196860265247,0.0015533526979084346,0.2267954227217227,0.22980726688407954,0.0041057127606930945,1.0416504537300673
1951-12-31,0.004698428141228191,0.001484935313770885,0.23693419047499745,0.2401476833024547,0.004330094577070179,1.0330103323989968
1952-03-31,0.004870523787135592,0.00143588555045271,0.23922427624762332,0.2426589144843062,0.00479011419631024,1.0333206775277881
1952-06-30,0.005042757791396453,0.0013742650737814657,0.24762609782965994,0.25129459054727493,0.005105224385659247,1.025105205758931
1952-09-30,0.0051934014334332115,0.0013011305518451516,0.24761237251919815,0.25150464340078615,0.005415816912381101,1.0222799253077224
1952-12-31,0.005359998289938789,0.0012411471450063179,0.2511565592149289,0.2552754103598614,0.005865244030383838,1.0456719614693495
1953-03-31,0.005656110764190956,0.0010877136084982608,0.2547534042463776,0.2593218014020703,0.006156459024100155,1.055027814562888
1953-06-30,0.00585051164343422,0.00101093399721106,0.2574359555823451,0.2622755332285683,0.006409751726997785,1.0532776129612649
1953-09-30,0.006049255725510575,0.0009445329115270899,0.2503065279193503,0.2554112507333338,0.006526828545945622,1.0378479874577622
1953-12-31,0.006236350675677808,0.0009134048969427093,0.24769808485454142,0.2530210306332765,0.006577565148673648,1.0130657703246482
1954-03-31,0.006411342229544627,0.0009025675954213307,0.23954092110781236,0.24504969574193564,0.0065669573322034765,0.9994250289012436
1954-06-30,0.00656663921261735,0.0008837730395697841,0.23116317021630825,0.23684603638935584,0.006535809920539334,0.9919864238712925
1954-09-30,0.006696079267272359,0.0008853478666454335,0.22519382690800915,0.2310045583086361,0.006441668960765051,0.9947341220313157
1954-12-31,0.00680367746115911,0.000915879658232957,0.22306198753205525,0.2289497853349814,0.006396060690187299,1.0057918662200354
1955-03-31,0.0068853857102278895,0.0009538196654861146,0.22130851754118844,0.22724008358593023,0.006182440488007654,1.0260342465660048
1955-06-30,0.007135695855597528,0.0010404178276387042,0.21992322594839356,0.22601850397635237,0.00631857525040015,1.0343618106608448
1955-09-30,0.007493787044726172,0.001102311900772624,0.21997649267194738,0.2263679678159009,0.006572776443422728,1.039995018119077
1955-12-31,0.007998170272863309,0.0011683787928292006,0.2136399620717345,0.22046975355176862,0.007034020293414822,1.0379858197465466
1956-03-31,0.00861271392410388,0.0012317207345413999,0.21264911984442397,0.22003011303398642,0.007684257764354869,1.0258414131281106
1956-06-30,0.009177025583452004,0.0013438773672858502,0.21690502870376194,0.2247381769199281,0.008159912918485659,1.0263403160670583
1956-09-30,0.009615719984371295,0.0014613007856174014,0.21201264407379627,0.22016706327255017,0.008291979920856766,1.0174780289560197
1956-12-31,0.010064889810736185,0.0015066132666203857,0.21580452070056994,0.22436279724468577,0.008402266294613688,1.0262421073784358
1957-03-31,0.010288367432536829,0.0015794694701350006,0.21952444047210581,0.2282333384345076,0.008095871828274846,1.02486407211402
1957-06-30,0.010439041327841913,0.0017627705701874728,0.21709164487920996,0.22576791563686438,0.007919569244598355,1.0147216809667583
1957-09-30,0.010499837339643618,0.0019167715983517432,0.21723340770567603,0.22581647344696792,0.007902442198071843,1.0166734664753068
1957-12-31,0.010528120754104397,0.0020938514918306668,0.22085087813532014,0.2292851473975939,0.00793182899465573,0.9982878462014837
1958-03-31,0.010357017680602845,0.0022529608181709776,0.21626567018602233,0.22436972704845423,0.00792043642944907,0.9646055869300907
1958-06-30,0.010333944284955604,0.002318199191885775,0.2215349509428871,0.22955069603595693,0.007970850390410069,0.9631505441794581
1958-09-30,0.010420214254365978,0.002309344780697325,0.22110366975678145,0.22921453923045013,0.008147078712390388,0.9773295972114714
1958-12-31,0.010625711684202585,0.0022156753063471758,0.22363231765855368,0.23204235403640908,0.008280987188865656,0.9918025785504152
1959-03-31,0.010880230699213815,0.0021367673286542656,0.21928378316258457,0.22802724653314413,0.00834085555587745,1.002257785691297
1959-06-30,0.011064184161558997,0.0020915428949117147,0.21934570157111768,0.22831834283776495,0.00848863180490656,1.0159397478199745
1959-09-30,0.011085018158101617,0.0021878325312042666,0.21823821413896877,0.22713539976586614,0.008444265909911207,1.0076197063055272
1959-12-31,0.010987276153477965,0.002356581299125274,0.21369873246923146,0.22232942732358416,0.00855681489401034,1.001357616332492
1960-03-31,0.010887593023690125,0.002669554058693252,0.2077447716249335,0.21596281058993036,0.008853647074209553,1.0144454977883586
1960-06-30,0.01080943219900762,0.003103186277227068,0.20785437226417114,0.21556061818595168,0.00897707458769259,0.999447637429775
1960-09-30,0.010843822110045172,0.0032597098071218506,0.21233873654658225,0.21992284884950555,0.008969671281342005,0.9946927906067731
1960-12-31,0.010921504412787612,0.0033333266599345187,0.21285414549523543,0.2204423232480885,0.008911069272859503,0.9722748713372824
1961-03-31,0.011151098725911362,0.0033638199600485165,0.21325409562789607,0.22104137439375895,0.008877142209578354,0.9689970544322001
1961-06-30,0.011397844912235553,0.0034411238490421573,0.21201887666225966,0.21997559772545308,0.008952189033809163,0.9753567085286352
1961-09-30,0.011465072946437522,0.0036114286608790506,0.21374840123614516,0.22160204552170362,0.009026838720978394,0.9837226676339949
1961-12-31,0.011369491864708887,0.0038285721252176654,0.21683391700607763,0.22437483674556882,0.009123624109112454,0.9923727315923566
1962-03-31,0.011175609460733137,0.00409749919421221,0.21944664916851706,0.22652475943503797,0.009147044588721674,0.9991657589702699
1962-06-30,0.011054829151907615,0.00447773728869335,0.2188543926302384,0.22543148449345263,0.009246128889523695,0.997136952916792
1962-09-30,0.010968179683774016,0.0049497762470109875,0.22185487178655872,0.22787327522332168,0.009243952991106611,0.9981944961550864
1962-12-31,0.010899854477369717,0.005517849180531969,0.22126704589060522,0.226649051187443,0.00924870441484828,0.9901725370035503
1963-03-31,0.010843917181036814,0.006157409227282794,0.21794809000148446,0.2226345979552385,0.009269543415322573,0.9896300178757367
1963-06-30,0.010820074844865583,0.006710708440369596,0.21559093379917715,0.21970030020367315,0.009327759063416353,0.9892514189465433
1963-09-30,0.010786387314751372,0.007182654692629148,0.2216993359369348,0.225303068559057,0.009373736532155268,0.9993131953231215
1963-12-31,0.010587295149148404,0.007534554100973505,0.21895967602758457,0.22201241707575947,0.009339137579152591,0.994174987829381
1964-03-31,0.010442760663891205,0.007830572683709583,0.2180547881483949,0.22066697612857653,0.009368827876167453,1.0032689089800537
1964-06-30,0.010261672065911552,0.008105362161445395,0.21764846943942456,0.21980477934389067,0.009458225087809092,1.0023503206189488
1964-09-30,0.009990728871288159,0.008339176485114796,0.2168549343961311,0.21850648678230447,0.009538587328946684,1.0060963462640302
1964-12-31,0.009674994188146083,0.008565030336874446,0.21367948429609213,0.21478944814736373,0.00961205809348635,0.9974212407279477
1965-03-31,0.009379777722240643,0.008749582698310856,0.21150498485047034,0.21213517987440014,0.009746922591092595,1.0097046567557153
1965-06-30,0.009145624966048843,0.00900722265118733,0.21203234636783944,0.21217074868270094,0.009847324702396722,1.0106012469104377
1965-09-30,0.008983961742260436,0.009316499161118378,0.2182876468895801,0.2179551094707221,0.009946139683710054,1.0212210504544623
1965-12-31,0.008858658007091838,0.009645499534005736,0.2221341949424831,0.22134735341556921,0.01007772710746354,1.032872687821735
1966-03-31,0.008792696406161904,0.010028511989563846,0.2239508188712983,0.22271500328789637,0.010144205363329134,1.0461494440880437
1966-06-30,0.008794531025925782,0.010151106779485008,0.22545850587123717,0.22410193011767793,0.010264584599174372,1.0380396451291438
1966-09-30,0.008857513808835715,0.010060074154815694,0.23047473252671305,0.22927217218073304,0.010374609371358774,1.0353615093049757
1966-12-31,0.009021657543316628,0.00976520074743613,0.23092097366472028,0.2301774304606008,0.010467849075329059,1.0326600651319824
1967-03-31,0.009274893904323199,0.009343271215887456,0.2380897988667442,0.23802142155518,0.010600925339301475,1.0307513411285563
1967-06-30,0.009396534637007063,0.009074340255901907,0.23562868553994362,0.2359508799210488,0.010663672240308682,1.0206625084096939
1967-09-30,0.009297101767896037,0.008962368387814588,0.23630644403489406,0.2366411774149755,0.010726790465215751,1.019797065662017
1967-12-31,0.009088617588896265,0.009023995625338852,0.2370437480013083,0.23710836996486573,0.010726091986895732,1.0171485524300579
1968-03-31,0.008765022123383908,0.009208019631424971,0.23957237429119707,0.23912937678315602,0.010795804067133376,1.027694323584028
1968-06-30,0.008540979947316946,0.00930293458991991,0.23913525611053058,0.23837330146792762,0.010847886227174468,1.0347787043433487
1968-09-30,0.008412887969220977,0.009303715465961834,0.23859619487708245,0.23770536738034156,0.010905032210103327,1.0329525055958853
1968-12-31,0.008333477639219792,0.009169797096645314,0.23719951413365098,0.23636319467622544,0.010948567922337159,1.0273887365122178
1969-03-31,0.008369041163179424,0.008964450559365822,0.23490045697622944,0.23430504758004306,0.011006746425305875,1.033989831083229
1969-06-30,0.008288026320184801,0.008748472226861736,0.23299683432050497,0.23253638841382804,0.011073112844199704,1.027874178661857
1969-09-30,0.008121283902675759,0.008511615350670965,0.23338136339201096,0.2329910319440158,0.011090590989210716,1.025571981763648
1969-12-31,0.007874766103117433,0.00828799640357805,0.22879509168757947,0.22838186138711886,0.011057808936382474,1.0117778224818132
1970-03-31,0.007558355247836708,0.008046236978408115,0.2286535867631307,0.22816570503255929,0.010890625583399613,1.0016821780794183
1970-06-30,0.007302915658997898,0.007821090889524037,0.2248908459578619,0.22437267072733577,0.010671054657417807,0.9947613069835224
1970-09-30,0.007150813595542116,0.007671539508653387,0.22624440799516227,0.22572368208205099,0.010581370579454756,0.995667367020625
1970-12-31,0.007032388524741044,0.007513419694886678,0.22514412633726835,0.22466309516712277,0.010312554433103539,0.9769671269960818
1971-03-31,0.006948575456549646,0.007337920169157931,0.22271657534451486,0.2223272306319066,0.010253621001190689,0.9954211409584894
1971-06-30,0.006906819082437582,0.007209056814538281,0.22159005816521588,0.22128782043311515,0.010182492230063064,0.9928088770846824
1971-09-30,0.006924899282369857,0.007113790836102302,0.22057389554173965,0.2203850039880072,0.010092205870847836,0.9930931274190112
1971-12-31,0.006983105594873402,0.00707271769138556,0.21876221164376988,0.21867259954725773,0.010063936283296042,0.9876389781678976
1972-03-31,0.007012986946973038,0.006983793199275185,0.2218562637549588,0.22188545750265665,0.010125364826538547,0.9979469072418528
1972-06-30,0.007072661281337936,0.006976695727995494,0.22201630765773833,0.22211227321108076,0.010177146931965919,1.0127316818392855
1972-09-30,0.007087429398240191,0.0069050554385694145,0.21641185817829686,0.2165942321379676,0.01019093109125841,1.014507032915844
1972-12-31,0.00705303780501996,0.006828104751386732,0.2176866658403239,0.21791159889395711,0.010333825049622406,1.0236795709089388
1973-03-31,0.007001973748404221,0.0067298763229481,0.2194216313663628,0.2196937287918189,0.010517321320060962,1.0411430071987622
1973-06-30,0.00691248282631016,0.006625817228126283,0.21673766294854258,0.21702432854672643,0.01061475425027769,1.0446205222149627
1973-09-30,0.006776635343603383,0.00652341075326916,0.2120532933756503,0.21230651796598457,0.010653417495055467,1.0314859095330773
1973-12-31,0.006629236918393669,0.006421985743082672,0.21223990714914248,0.21244715832445346,0.010721047285006745,1.0336575349618158
1974-03-31,0.0064782971865013144,0.006352769945313841,0.21495857840087393,0.21508410564206143,0.01071893485618246,1.0173225641517942
1974-06-30,0.006317441986335819,0.006272449730882234,0.21530713021905662,0.2153521224745102,0.010726021369971717,1.0123628001513445
1974-09-30,0.0061265527925610744,0.006162291017184347,0.21513773040627748,0.21510199218165416,0.01066403095455162,0.9955814215383211
1974-12-31,0.005950650113574746,0.006086060025137266,0.21515403948088418,0.2150186295693217,0.010419177195137911,0.9846017814473662
1975-03-31,0.005829254146763451,0.006049135811996021,0.21532987576044546,0.2151099940952129,0.010119336636898913,0.9656366230679337
1975-06-30,0.005770507571161493,0.006069788352810063,0.21249870749491132,0.21219942671326278,0.010025321652450441,0.9655622207197959
1975-09-30,0.005718575738397951,0.006085823721597821,0.21405653177298417,0.2136892837897843,0.010086773799439864,0.9750433953956505
1975-12-31,0.005692974596652513,0.006100570195708619,0.2145706848490078,0.2141630892499517,0.010177083010858566,0.9810308222412846
1976-03-31,0.005717385678103542,0.00616156068486015,0.21379423086914565,0.21335005586238903,0.010350043476406154,0.9958310659178801
1976-06-30,0.005743999179593628,0.006212809296086108,0.20983607485909517,0.20936726474260273,0.01041167054586393,0.995862363191223
1976-09-30,0.005755872597670107,0.006236406816735939,0.20685786257205246,0.2063773283529866,0.010447930953789873,0.994030345671487
1976-12-31,0.00573458600427225,0.006221717503559893,0.20536497968597126,0.2048778481866836,0.010418858944679582,0.9939296482295428
1977-03-31,0.005729239403838744,0.0062031617660209875,0.20572949660875206,0.20525557424656982,0.01040269625718039,0.9983736840137669
1977-06-30,0.0057164766043791065,0.00621971526006035,0.20627378998934343,0.2057705513336622,0.010545896789320086,1.0103641419560219
1977-09-30,0.005706955902376136,0.006283435569541833,0.2054186000624364,0.20484212039527072,0.010643665560495761,1.0211175668390606
1977-12-31,0.005635664723799889,0.006293283845493294,0.20361695991822776,0.20295934079653438,0.010664296412190482,1.0137217496491346
1978-03-31,0.005595605821958177,0.0063729770108540695,0.20185112118936463,0.20107375000046876,0.010742023103162829,1.009647500030848
1978-06-30,0.005549450659654426,0.006408570636253647,0.20534039108051855,0.20448127110391934,0.010960924150509914,1.0411395469843923
1978-09-30,0.0055382354816136715,0.0064554621388330635,0.20555860244552002,0.20464137578830063,0.011067316134424297,1.0441095328199992
1978-12-31,0.005524624866512116,0.006466322286940318,0.20497486594912356,0.20403316852869532,0.011196018790442321,1.0506921098343305
1979-03-31,0.005544857884151704,0.0064814110212540205,0.2020431377670897,0.2011065846299874,0.011325922411980716,1.045187509599861
1979-06-30,0.005538235612199591,0.006449245698422983,0.20156739714091268,0.20065638705468933,0.011362364794591647,1.039019433493003
1979-09-30,0.005553754177301699,0.006423525390025344,0.20218829426815152,0.20131852305542783,0.01152758602813211,1.0395032459987232
1979-12-31,0.005588427364487544,0.006412177060313559,0.20254325604468873,0.2017195063488627,0.011747932124190263,1.0349620815109073
1980-03-31,0.005619349891967009,0.006367413834438808,0.20460029302456068,0.2038522290820889,0.011989350904072467,1.03111670226947
1980-06-30,0.005663623056097735,0.006301838366293606,0.20535868378089606,0.2047204684707002,0.011972990928859945,1.0029847609028306
1980-09-30,0.005748726383715008,0.006234985595522215,0.20051748507521205,0.20003122586340488,0.012032128906487367,0.9949793496566528
1980-12-31,0.005836905501810918,0.006140349064174009,0.19945716229591062,0.19915371873354756,0.012250690931625447,1.0066089463534023
1981-03-31,0.005942926970756902,0.006036886290452664,0.20068601445045983,0.20059205513076406,0.012288117278961282,1.0192648276021377
1981-06-30,0.006085702844885435,0.0059344815797901405,0.19999234693066117,0.20014356819575646,0.012358208429006236,1.004710272992338
1981-09-30,0.0062299614172244494,0.005801419339618156,0.19744333089159238,0.1978718729691987,0.012520302679198342,1.009615719018628
1981-12-31,0.006378142890902738,0.00564192435023561,0.1984474658573365,0.19918368439800357,0.012611520313423065,0.9915431199320387
1982-03-31,0.006547103001162431,0.005472099470410986,0.1971187090925027,0.19819371262325414,0.01276181917274505,0.969131665954437
1982-06-30,0.006716442955116142,0.005323033387126077,0.197217052754051,0.19861046232204105,0.012859743256954105,0.966444976077226
1982-09-30,0.00688211445013209,0.005181172782701324,0.19674944420832174,0.1984503858757525,0.012904106528382468,0.9555936842104257
